Name of the State,General Literacy(in Percentage),Financial Literacy (in percentage)
Andhra Pradesh,60,23
Arunachal Pradesh,55,10
Assam,61,20
Bihar,50,8
Chhattisgarh,60,4
Goa,80,50
Gujarat,68,83
haryana,65,21
Himachal Pradesh,73,16
Jharkhand,56,15
Karnataka,67,25
Kerala,84,36
Madhya Pradesh,59,23
Maharashtra,73,17
Manipur,69,36
Meghalaya ,60,24
Mizoram,77,6
Nagaland,68,8
 Odisha,64,9
Punjab,67,13
Rajasthan,56,20
Sikkim,73,8
Tamil Nadu,72,22
Tripura,67,21
Uttar Pradesh,57,10
Uttarakhand,68,23
West Bengal,67,21